# Configuration
# N_FOLDS,4
# EPOCHS_PER_TRIAL,5
# EARLY_STOPPING_PATIENCE,3
# INITIAL_POINTS,10
# BO_ITERATIONS,5
# BO_CANDIDATES,100
# BATCH_SIZE,512
# NUM_FILTERS,32
# KERNEL_SIZE,5
# NUM_UNITS,32
# LEARNING_RATE_MIN,0.0001
# LEARNING_RATE_MAX,0.05
# MANUAL_SEEDS,"[1, 4, 9, 12, 13, 14, 16, 17, 19, 21, 31, 35, 37, 38, 42, 45, 48, 51, 52, 55, 58, 60, 64, 66, 69, 80, 123, 256, 2048, 3651]"
seed,optimizer,best_accuracy,accuracy_std,best_learning_rate,best_final_loss,total_trials
58,RMSProp,0.7808333333333334,0.012232697531161664,0.0004388771287173792,0.668870156009992,15
58,AdaGrad,0.7925,0.016113314025640067,0.01880632070861051,0.6338317932354078,15
58,Adadelta,0.7266666666666666,0.010614455552060415,0.04992510559502786,1.1123153269290924,15
58,AdamW,0.8336666666666667,0.005627314338711387,0.006203640610689736,0.448553918964333,15
58,Adamax,0.8233333333333334,0.025841396591085735,0.007398778525785484,0.5138512228926023,15
58,ASGD,0.7273333333333334,0.006782329983125246,0.02582982107954869,0.9982651289966371,15
58,NAdam,0.8045,0.019341234017852454,0.010830984965242034,0.5385354128148822,15
58,RAdam,0.841,0.009195409482755823,0.04844485121599492,0.44007892741097343,15
58,Rprop,0.8516666666666666,0.0076811457478686085,0.028369997536774737,0.3659318072928323,15
60,SGD,0.8105,0.0071860203791033455,0.04256383016604458,0.5299768431319132,15
60,Adam,0.8305000000000001,0.014563081175813494,0.006680082799013888,0.4684077973167102,15
60,RMSProp,0.7761666666666667,0.02651362333258551,0.004407392730050565,0.6538063006268607,15
60,AdaGrad,0.7963333333333333,0.010929064207169983,0.009428596235459712,0.6716667662064234,15
60,Adadelta,0.7208333333333333,0.019432933100509774,0.04962371536141042,1.1341600086953902,15
60,AdamW,0.8336666666666667,0.00966666666666669,0.006257329196937191,0.46029098249144024,15
60,Adamax,0.8118333333333333,0.01579996483821687,0.009428596235459712,0.5139384120702744,15
60,ASGD,0.7113333333333333,0.02338090388900021,0.03938396328376437,0.9511958526240455,15
60,NAdam,0.8009999999999999,0.017464249196572964,0.009428596235459712,0.5404650759365824,15
60,RAdam,0.8406666666666668,0.006847546194724707,0.0437346338725773,0.4316672790381643,15
60,Rprop,0.8461666666666667,0.012844151284620634,0.01622681558071415,0.3791803510652648,15
64,SGD,0.8151666666666666,0.012870077268178648,0.04993838525142533,0.5395085513591766,15
64,Adam,0.818,0.009067647005823617,0.00915301877075777,0.5292895270718468,15
64,RMSProp,0.7836666666666667,0.020013884069704096,0.004726920311029271,0.6234293099906709,15
64,AdaGrad,0.7998333333333334,0.009047713032093297,0.015651384793982235,0.6180570332540407,15
64,Adadelta,0.719,0.017603661235347862,0.04993838525142533,1.1395923925770652,15
